"A_Ctrl1"	"A_Ctrl2"	"A_Ctrl3"	"A_Ctrl4"	"A_Ctrl5"	"A_Ctrl6"	"A_Ctrl7"	"A_Ctrl8"	"A_Ctrl9"	"A_Ctrl10"	"A_Ctrl11"	"A_Ctrl12"	"A_Ctrl13"	"A_Ctrl14"	"A_Ctrl15"	"A_Ctrl16"	"A_Ctrl17"	"A_Ctrl18"	"A_Apc1"	"A_Apc2"	"A_Apc3"	"A_Apc4"	"A_Apc5"	"A_Apc6"	"A_Apc7"	"A_Apc8"	"A_Apc9"	"A_Apc10"	"A_Apc11"	"A_Apc12"	"A_Apc13"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"13_3860000_3870000"	0	0.984073280184026	0.16428509008472	0	0.114024581162028	0.148185707263094	0.445405010796973	0	1.07042845473708	0.265277216792525	0	0.593381397226509	0.851898631977208	0.735692052743512	0.858309030991958	0.927524692449804	2.73118385463183	3.06207665110206	0	0	0	0	0	0.0124316053034933	0	0	0	0	0	0	0	0.00656321411785825	0.00656321411788108	-9.41214575398693	-12.3428891606391	"downsig"	"downsig"	"downsig"	"downsig"
"17_39570000_39580000"	0.344986907344066	0.133810750745862	0	0.0817329845940341	0.354670244972339	0	0.0400324941318107	0	0	0.138295085168601	0.152754188706628	0	0.115686627757094	0.0444191428071554	0	0.476749856504246	0.32169803879661	0.121052833280765	0	0	0	0	0.0351654758787976	0	0	0	0	0	0	0	0	0.00476485912520136	0.00476485912521074	-5.52673809507534	-9.94851041598571	"downsig"	"downsig"	"downsig"	"downsig"
"11_119140000_119150000"	0	0.372735488824618	0	0.791978423919859	0.259802843153989	0	0.570550068539459	0.14500164242245	0.680360801786594	0	0.17610089877096	0.615883219874143	0.353762468888726	0.529273683227907	0	1.3526852720111	0	0	0.00143682805063654	0	0	0	0.0264505535957912	0.0405507125375853	0	0	0.0394551708425654	0	0	0	0	0.00511424065597965	0.00511424065599153	-5.2739794852819	-11.0904556539704	"downsig"	"downsig"	"downsig"	"downsig"
"3_49610000_49620000"	0.205665271685885	0.785775420644977	0.670270357792046	0.45754246462566	0.371071939615899	0.592742829052377	0.0624855017100872	0.032308058258583	0.723089838868691	0	0.224461941047076	0.07833967884732	0.0722538729560527	0.616968829137622	0.0236733042494246	0.354811565548184	0.0454926519510358	1.57497921165294	0	0	0	0	0.0928062776453484	0.0446945809720831	0	0	0	0	0	0	0	0.00245350310580402	0.00245350310579107	-5.1647116872856	-11.500526987693	"downsig"	"downsig"	"downsig"	"downsig"
"11_30130000_30140000"	0	0	0.231216052711829	0.0358976135810026	0.0976228865184685	0	0.491529406209711	0.448466618208426	0.327295613938128	1.00131182700538	1.11297102120965	0.434618537434866	0.0155499986324715	0.730792882580958	1.34088023299946	0.0468993426754082	0	0.837892386943374	0	0.152757528563366	0	0	0	0.0298950508488768	0	0	0	0	0	0	0	0.00385459522945604	0.0038545952294573	-4.81200913784474	-11.4478882306786	"downsig"	"downsig"	"downsig"	"downsig"
"13_28010000_28020000"	0.753948035143418	0	0.14378948430417	0.501349721877053	0.854856324822341	0	0.136110480048157	0.7592393690767	0.0495568729044945	0.149608038713278	0.281161094060453	0	0.424005566159545	0.987019482082528	0.532952849512687	0.292579745459662	0	1.9609697405482	0	0.185416034670017	0	0	0	0.0364068441030876	0	0	0	0	0.00557604348823229	0	0	0.00564999323772507	0.0056499932377414	-4.62781148536255	-11.486686319595	"downsig"	"downsig"	"downsig"	"downsig"
"11_6480000_6490000"	2.15569428778593	0.306313766767636	0	0	0.0274236334440321	0	0	1.15501308274434	1.14729667093116	0.0187010048391597	0.980228298272445	0.534626638091019	0.811683118272541	0.549686892238549	1.8264864740133	1.14975542389635	0	0.148623585344712	0	0	0	0	0	0.113216405442528	0	0	0	0.211083973655406	0	0	0	0.00493968191518689	0.00493968191519734	-4.58407978503527	-12.0381309228195	"downsig"	"downsig"	"downsig"	"downsig"
"10_24650000_24660000"	0	0	0.121692659322015	0.0486747302793255	0.601614159525777	0.543530878031795	0.138373186238215	0	0.00638733028546818	0.839467328335615	0.0817134852251613	0.12376002456199	1.06812404399597	1.16028680016485	1.18063017346489	0.436163886881296	0	0	0	0.0383775071760182	0	0	0	0.0765135707369767	0	0	0.0287246850485622	0.0577493890189318	0	0	0	0.0098128124617059	0.00981281246174415	-4.50060535171748	-10.2624042860347	"downsig"	"downsig"	"downsig"	"downsig"
"3_71630000_71640000"	0	0.0864127257828699	0.324727254085588	0.0448213141322123	0.0493362974878282	0.148735561464442	0.951032817113973	0.969626367498663	0.119377000507716	0.648301501090871	0.174099752194017	0.0600048603936919	0.585269776115262	0.759044763851686	0.125954118762964	0.566580135936374	0	0	0.2034907726714	0	0	0	0	0	0	0	0	0	0	0	0	0.00425635606696779	0.00425635606697272	-4.30761004442986	-10.424637031585	"downsig"	"downsig"	"downsig"	"downsig"
"3_43220000_43230000"	0	0.343071418779752	0.0220968249821554	0.0188614579832386	0.0743980869031877	0.173204073424396	0.514678631077236	0.0250002831762844	1.08298286253955	0.525244271717141	0.0290166253656695	1.71305542415602	0.776561569637131	0.377399408188736	0.291667248508936	0.434901212270805	1.50667330628311	1.10153770355486	0	0.0669725125228553	0	0	0	0.028119107234092	0	0.184691768108644	0.0485348126682603	0	0	0	0	0.00331905757641165	0.00331905757640916	-4.30351829722411	-11.8151247303414	"downsig"	"downsig"	"downsig"	"downsig"
"11_38950000_38960000"	0	0.0793191438156194	0.765382778367411	0.00304217064245785	0	0.567449535790402	0.207646806518479	0.160386432069394	0.195143952859476	0.244729199129745	0.465933627998165	0	0.102013353097507	0.377399408188736	0.807320375685505	0.158375472573109	0	0	0	0.1616370302237	0	0	0	0	0	0	0	0	0	0	0	0.00652273027162738	0.00652273027165007	-4.19634433721315	-10.6391684100149	"downsig"	"downsig"	"downsig"	"downsig"
"13_19880000_19890000"	0.439289647126303	0.107693471684621	0.443217475004392	0.5701027783966	0.428543477646933	0	0.0685774029910149	0	0	0	0.637698709185749	0.792147497280613	0.167564640436115	0.854905193365657	0.66710157359276	0.410910394671461	0	0	0	0	0	0	0	0.0996008377291786	0	0.123271017319025	0	0	0	0	0	0.0018704435428011	0.00187044354277965	-4.17057037739236	-11.4985376901261	"downsig"	"downsig"	"downsig"	"downsig"
"11_18850000_18860000"	0	0.367254084577197	0.248509220089168	0.811651127407753	0.228836443666948	0	0.0793687709743726	0.192309870586803	0	0	0.276158227618096	0	0.105766801043276	0.168531453591854	0.653747401964879	0.440312674887198	0.482005479005022	0	0	0	0	0	0.0651325770624686	0.0994528424279465	0	0	0	0	0	0	0	0.00411493570759194	0.00411493570759558	-4.14240285182159	-10.8179482596571	"downsig"	"downsig"	"downsig"	"downsig"
"7_10690000_10700000"	0.785224320699336	0.207003619226129	0.65361767809535	0.213357567724377	0	0.671646906945713	0.122360188585491	0	0.12356180310854	0.161151868860907	0.321184025599307	0	0.284725837029046	0.0174737069131089	0.0904441623888273	0.241711996865565	0	0	0.0495705677469607	0.0114380021387348	0	0	0.0195703517934178	0.0824333827862592	0	0	0	0	0	0	0	0.006487180809094	0.00648718080911648	-4.09772328350724	-10.4763091376656	"downsig"	"downsig"	"downsig"	"downsig"
"18_15840000_15850000"	0	1.16495962034891	0.701654254143513	0	0.698580978258503	0.133889498028065	0.744952499496304	0.685007759030194	0.572216692470563	0	0.264818397015421	0.140428041338015	0.544115900424152	0.358945867243116	0	1.06281125785964	0	0.469995164090088	0	0.082624515449545	0	0	0.179802607102026	0	0.065744471794617	0	0	0	0	0	0	0.000840814735660399	0.000840814735617257	-4.04765204405425	-12.017401800014	"downsig"	"downsig"	"downsig"	"downsig"
"7_28420000_28430000"	0	0.123815248882918	0.447700888768887	0	0.18724174605088	0	0.356115143450803	0	0.429933404042548	0.0734187597389235	0.0420240781157972	0	0.0801629239846374	0.161509309692194	0.0628253074311653	0	0.203092196209981	0.259768179602496	0	0	0	0	0.105343534263007	0	0	0	0	0	0	0	0	0.00586510186654834	0.0058651018665663	-4.04025062925676	-9.58666796497875	"downsig"	"downsig"	"downsig"	"downsig"
"11_106160000_106170000"	0	0.421423255963474	0.444818694205997	0	0.51763748295075	0	0.169354855609791	0.4969287055963	0.0852378213957306	0.27820630655787	0.434582331626062	0	0.0395452551429231	0.265698328482507	0	0.0360764174426217	0	0	0	0.0213710039960572	0.0839828666017785	0	0	0.0347788957895349	0	0	0	0	0	0	0	0.00660741269415854	0.00660741269418175	-4.02647492752856	-9.28751704317601	"downsig"	"downsig"	"downsig"	"downsig"
"7_5360000_5370000"	0	0.4684988453825	0	0.0472550506461785	0.160736607506887	0	0.39110006223556	1.08001223321549	0.089642876765019	0.560337515365935	0	0.244186445768774	0.782593896692831	0	0	0.333165715082611	1.00462939725204	0.103821113240799	0	0	0	0	0.0296613144368988	0	0.0487415911580781	0	0.0643829147640188	0	0.0913613279225752	0	0	0.00986842420117549	0.00986842420121414	-4.01423459181063	-10.3704570407286	"downsig"	"downsig"	"downsig"	"downsig"
"6_45290000_45300000"	0	0	0	0.0336666884432002	0.400857417088604	0.567999389991749	0.0697957832472005	0.489620930514001	0	0.378868505445199	1.66962329402921	0.790897396022411	0.652563735714406	0.246101647832291	0	0.46538578500982	0.956970428541432	0	0.173676590620692	0	0	0	0	0	0.128938511493753	0	0	0	0	0	0	0.00908539877379745	0.00908539877383119	-3.99812656773779	-11.6100331878455	"downsig"	"downsig"	"downsig"	"downsig"
"7_13160000_13170000"	0	0	0	0.11621091854189	0.0738732326745937	0.502841667132095	0.0929450081147258	0	0.836299761859403	0.34239000217869	0	0.896739302550174	0.687685284349815	0.418225826210019	0.326266693181172	0.686714606020304	0.878983025196799	0	0	0.216419040467114	0	0	0.0548887210456015	0	0	0	0	0	0	0	0	0.00369046611179462	0.00369046611179602	-3.95675693764546	-11.1120406961081	"downsig"	"downsig"	"downsig"	"downsig"
