"D_Ctrl1"	"D_Ctrl2"	"D_Ctrl3"	"D_Ctrl4"	"D_Ctrl5"	"D_Ctrl6"	"D_Ctrl7"	"D_Ctrl8"	"D_Ctrl9"	"D_Ctrl10"	"D_Ctrl11"	"D_Ctrl12"	"D_Ctrl13"	"D_Ctrl14"	"D_Ctrl15"	"D_tDEN1"	"D_tDEN2"	"D_tDEN3"	"D_tDEN4"	"D_tDEN5"	"D_tDEN6"	"D_tDEN7"	"D_tDEN8"	"D_tDEN9"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"9_121380000_121390000"	0.16635398190964	0.897295183333122	0	1.30027552571515	0.729322346989589	0.0985969970543481	0.832417030912342	0	0.557747155446133	0.320311144275014	0.22137062312617	0.969229787383789	0.385959568686032	0.243085487756749	0	0	0	0	0.335929117410358	0	0	0	0	0	0.00800716585960439	0.00800716585961914	-3.58215053721621	-11.6457086119052	"downsig"	"downsig"	"downsig"	"downsig"
"19_11990000_12000000"	0.79403119657261	0.786633221644193	0	0.539866392019416	0.521360421251322	0.714624515840193	0.517493807957608	0	0.378635305892983	0	0.734154324602369	0	0	0.65906874309655	0	0	0	0	0.016350532263336	0.120268141758381	0.0761133708659048	0	0	0.090634663053546	0.00640475461564442	0.00640475461565193	-3.47720464080354	-12.3376046429464	"downsig"	"downsig"	"downsig"	"downsig"
"11_104710000_104720000"	0	0.598307895275986	0.918532516010273	0.101560859192118	0.443770244454269	1.34477612235834	0.342706076361307	0.175119726886431	0.675624184639231	0.729575194485343	0.721999451678489	0	0	1.03829420532814	0.649443962873279	0	0	0	0.310288509997399	0.0339177941828295	0	0.0732843569214614	0	0	0.0030587498237618	0.00305874982375576	-3.47267101942902	-12.5469134946476	"downsig"	"downsig"	"downsig"	"downsig"
"3_44700000_44710000"	0.0635485224244126	0.487645933587057	0	0.270025861027219	0.397950270554542	0	0.272180371560005	0.282972434217773	0.424561421163021	0.528271339330139	0.280321756806989	0.109617672419289	0.0874009299212899	0.0642883212797874	0	0	0	0	0.106030724374361	0.0858835889400085	0	0	0	0	0.00497952695497195	0.00497952695497272	-3.34716664524595	-11.3994160503502	"downsig"	"downsig"	"downsig"	"downsig"
"18_70370000_70380000"	1.61105264357862	1.28227881511238	0.135978166692861	0.310983798767106	0.0410101423853917	1.50475857763385	1.08719495583306	0.136413006136855	2.5897226110605	0.177502397331242	0.414177294881221	1.92999644564697	1.6189369729328	1.00365414515621	1.11492734134523	0	0.0671691577472642	0.0289510098444779	0.306077009262903	0.48869629141407	0	0	0.0146038192858535	0	0.00263347761232715	0.00263347761231847	-3.30786564732498	-6.20840860947637	"downsig"	"downsig"	"downsig"	"downsig"
"1_148050000_148060000"	1.20590370197862	0.140660686243157	1.78947267367805	0	0.263528137180202	1.44038533162316	0.15936977448606	1.07815127990809	0.364347181142304	0.584951082114319	0.448059003156537	0.88419549002912	0.701410824158251	0.255943152012707	0.539747150011275	0	0	0.205004448087925	0.154339115152399	0.0630124157983758	0.0691029288124662	0.12638446299591	0	0.0617448642052282	0.00338946353454899	0.00338946353454472	-3.11963244955508	-3.09655523404008	"downsig"	"downsig"	"downsig"	"downsig"
"2_34360000_34370000"	0.0930454475087816	0.469313379692807	0	0.161237130469238	0.322511860487587	0	0.183030995793856	0	0.208198389224174	0.444159407867494	0.215445122575778	0	0.378798568125254	0.268498282992053	0.0902814477536845	0.133427751264999	0	0	0.0462026404107904	0	0.0267064459178613	0	0	0	0.00686333563708028	0.00686333563708974	-3.03754975040913	-10.8386602794759	"downsig"	"downsig"	"downsig"	"downsig"
"15_42140000_42150000"	0.894233986197452	0	0.119660786689717	0.568036557342777	0.506044905113568	0.760256183898403	0.127465288980709	0.588680369458355	0.114304998005429	0.361661134562405	0.245072625327736	0	0.034152464212941	0.522626235345095	0.121831416054703	0	0.0674295033199281	0	0.0429820810255878	0.0376518632671776	0	0.162405587584425	0.0719292591691289	0	0.00791814906727992	0.00791814906729449	-2.95844174982394	-2.69917814792327	"downsig"	"downsig"	"downsig"	"downsig"
"4_56980000_56990000"	2.10490924958677	0.895961906686267	0.168612926699147	0.767081014956527	0.356307255601474	2.37393320731406	0.421780351441555	0.868646456433443	0	0.659784479171014	0.426180231893552	1.01678451291863	0.852342682131571	0.030858394214298	1.26782334157325	0	0	0	0.285762711602395	0.338400010769055	0.0931387301385413	0	0	0.257364678629132	0.00628630251170608	0.00628630251171292	-2.90901019508738	-12.9053513038099	"downsig"	"downsig"	"downsig"	"downsig"
"6_28700000_28710000"	0.600999848594019	0.875629437821735	0	0.395679624772212	0.256566538935768	0	0.302558326658401	0.775261795207524	0.163803144463137	0.560141087941885	0.405516947922956	1.4685544054996	1.73241128951128	0.673439073735561	1.72311365336333	0.194573038260416	0	0	0.161771175272097	0.140649935510449	0.230676926615527	0	0	0.0711859749399726	0.00710644923244845	0.00710644923245907	-2.89794609955568	-2.97435762551747	"downsig"	"downsig"	"downsig"	"downsig"
"16_58830000_58840000"	0	0.599307852761127	0.0863461358499665	0.434598932126855	0.39250756647253	0.306655674034047	0.173719160311433	0.0871840700378796	0.406701265224673	0.271901399548311	0.381207202075195	0.752815485585413	0.359335335831858	0.26305268401306	0	0.0600534068704989	0.148917667563702	0	0	0.114978210555555	0	0	0	0.0415408872328753	0.00170285017039902	0.00170285017038485	-2.88689319340001	-11.5828743142066	"downsig"	"downsig"	"downsig"	"downsig"
"12_111000000_111010000"	0.174595769800861	1.57726627322895	0	0.820270735007873	0.339219696274228	0.435673783127202	1.27740064453961	1.46540638410652	0.753698580598296	1.30040676772104	0.876518273723317	1.93684755017318	0.51889711755791	0.219185358904499	2.53516129901879	0	0	0	0.262103986888023	0.468003325238307	0.125520295813948	0.0900528114712873	0.0695316171968246	0.148603082964877	0.00302659073827011	0.00302659073826372	-2.87412868004553	-3.18583163882863	"downsig"	"downsig"	"downsig"	"downsig"
"1_99670000_99680000"	1.12240137729125	1.33127673188428	0.182890634201898	0.794139200069755	0.524651358603236	0	0.371557501052749	0.0984578721979502	0.541928160186453	0.583740838496152	0.40202242195734	1.17315089857556	0.433332341626563	0.262447617459838	0	0.0613636630204007	0.0796657452351274	0	0.427343456882645	0.031428414793264	0.0230343096041554	0.0891212306629637	0	0	0.00596824429267682	0.00596824429268228	-2.7191637741353	-3.78108226753734	"downsig"	"downsig"	"downsig"	"downsig"
"13_10510000_10520000"	0.125795709918633	0.771300540205366	0.620740330952909	0.364358848853475	0.516044291682845	0.708648940261141	0.60786440804932	0.0543021470710069	0.796562954850332	0.139984845168048	0.0241578099362121	0.078586198977064	0.0835450065424095	0.249589953203881	0	0	0.0333242333009683	0	0.121638050625727	0.0891508993888132	0.0457347886343375	0	0.114650879766551	0.0645771974256515	0.00860498223980482	0.00860498223982253	-2.7149803648636	-2.4456228469161	"downsig"	"downsig"	"downsig"	"downsig"
"6_129050000_129060000"	1.51388630212423	0	0	0.355092347102369	0.661098684194138	1.70819976439338	0.557946863741905	0.556925826707489	0	0.245276039948625	0.698905193123116	1.82722987775389	1.20341532500868	0.325374538994877	0.747006172542583	0.20439995938468	0.223636846918217	0.0817670413175119	0.156320997850985	0.232445800500675	0.0577526892973751	0	0.0196170706824897	0	0.0095763599302016	0.00957635993021588	-2.67560881926207	-2.76903161974404	"downsig"	"downsig"	"downsig"	"downsig"
"4_37240000_37250000"	0.451346331621852	0	0	0.792285899719534	0.339472845301298	0	0.266074249932186	0.518407002660581	0.466405215075723	0.450412333228026	0.291109206526933	0.972453836572592	0.170027859468728	0.0294969944695495	0.616923226316844	0	0	0	0.291212889023507	0.142205797628927	0	0.0847738535574532	0	0	0.00802725899180166	0.00802725899181655	-2.63279494724615	-11.7295053798442	"downsig"	"downsig"	"downsig"	"downsig"
"4_40560000_40570000"	0.597963400423569	0.272655074281758	0.921931970177595	1.53712731047341	0.443263946400129	0	0.353544442250685	0.697848353708373	0.112774127496428	0.698915689491765	0.471153261711909	0	0.245861019253376	0.805041049061244	0.149983695461766	0	0.0525898056780906	0	0.270155385351029	0.20179531676665	0.0494069249480434	0.0701790875603825	0.0300795083798176	0.0700530416518033	0.0083880005130154	0.00838800051303212	-2.55719929259558	-3.07289569335274	"downsig"	"downsig"	"downsig"	"downsig"
"9_35960000_35970000"	0.631147441143484	0.41198248387806	0	0.392714344211858	0.295678063618133	0.245813449956433	0.558862781986078	0.322054948372685	0.304132941121587	0.00605121809083779	0.2437052021238	0	0.358050028038898	0.41961365465913	0.494606426134433	0	0	0	0.0458310374048055	0.145006349442188	0.225335637431955	0.0381948131412701	0.0370544668447028	0	0.00102083301871556	0.00102083301869482	-2.5136895633631	-3.11614718271922	"downsig"	"downsig"	"downsig"	"downsig"
"8_72780000_72790000"	0	0.342318779079909	0	0.240187725388659	0.283780059345828	0	0.43841953287736	0.494544121421765	0.432726063877695	0.0893563204747047	0.485131365574372	0.0939004326238765	0.273586944501517	0.261691284268311	0	0	0	0.111891740750279	0.193976769124123	0.0298725526747856	0	0	0	0.0330438875716053	0.00855121924072747	0.00855121924074509	-2.4798759079007	-11.3542013515702	"downsig"	"downsig"	"downsig"	"downsig"
"10_73740000_73750000"	0.704455975544342	0.3249861826708	0.121020568356646	0.27799505253317	0.238972681554381	0.10837521163825	0.148378755555987	0.306271625348586	0.121959350550435	0.27492700859373	0.654995714685599	0.703245729307573	0.613826278837967	0.148846372092496	0.0640707048574535	0.0345034119474139	0.0343656155916236	0	0	0	0.271404256640266	0	0.0202709730385727	0.179758748389533	0.00424793215924626	0.00424793215924701	-2.41597700781869	-3.75498650444633	"downsig"	"downsig"	"downsig"	"downsig"
